year,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
2020,352,212,344,368,411,375,136,177,189,276,613,493,528,461,287,421,610,334,517,293
2022,412,216,342,377,419,386,148,225,206,285,634,508,580,447,277,411,637,322,554,303
2024,404,198,302,381,411,354,132,185,153,254,523,467,577,249,161,358,551,327,487,301
2026,389,180,302,399,427,325,108,170,134,250,527,477,584,235,143,349,542,347,513,282
2028,335,159,271,355,389,298,96,148,111,238,480,463,545,228,134,329,476,263,503,259
2030,301,150,208,288,335,185,81,137,92,209,393,415,444,182,119,281,366,222,408,212
2032,288,147,169,273,285,149,82,138,92,206,374,390,421,162,87,269,382,206,379,203
2034,279,140,158,277,156,133,70,136,79,199,357,363,354,162,82,264,366,208,355,191
2036,243,130,156,268,149,127,73,135,86,203,338,335,302,156,72,253,348,207,327,188
2038,208,112,141,259,156,126,67,124,83,206,319,316,301,157,64,248,335,188,325,185
2040,179,101,147,251,146,129,67,111,77,198,291,287,302,155,60,241,284,185,309,179
2042,182,94,128,228,145,110,58,108,78,192,287,259,259,152,56,223,246,161,281,156
2044,144,82,120,192,121,88,60,103,79,187,290,242,253,117,47,206,211,145,261,149
2046,136,77,105,193,107,89,59,91,78,191,227,215,194,122,49,234,187,123,230,128
2048,132,75,103,190,122,79,58,87,83,170,203,217,174,130,58,233,186,126,209,121
2050,126,69,88,179,99,70,59,66,83,162,156,197,168,132,56,216,175,112,176,98
